hashed_userId,movieId,predicted_rating
8e7cebf9a234c064b75016249f2ac65e,77658,4.41046612292
8e7cebf9a234c064b75016249f2ac65e,95858,4.27199487448
8e7cebf9a234c064b75016249f2ac65e,115713,4.611921691619999
8e7cebf9a234c064b75016249f2ac65e,26674,4.459407296509999
8e7cebf9a234c064b75016249f2ac65e,93040,4.147291839059999
8e7cebf9a234c064b75016249f2ac65e,117533,4.098205576590001
8e7cebf9a234c064b75016249f2ac65e,108979,4.06484291919
8e7cebf9a234c064b75016249f2ac65e,112582,4.14910027961
8e7cebf9a234c064b75016249f2ac65e,120138,4.24481714323
8e7cebf9a234c064b75016249f2ac65e,121372,4.39600427991
8e7cebf9a234c064b75016249f2ac65e,127152,4.120456367719999
8e7cebf9a234c064b75016249f2ac65e,95311,4.05384720242
77c7d756a093150d4377720abeaeef76,94959,4.20728005022
77c7d756a093150d4377720abeaeef76,1247,4.2665397157300005
77c7d756a093150d4377720abeaeef76,953,4.2113217973
77c7d756a093150d4377720abeaeef76,2010,4.40834065512
77c7d756a093150d4377720abeaeef76,1234,4.09035821385
77c7d756a093150d4377720abeaeef76,5291,4.2024244599800005
77c7d756a093150d4377720abeaeef76,106642,4.11391248186
77c7d756a093150d4377720abeaeef76,1209,4.0944222128500005
77c7d756a093150d4377720abeaeef76,56782,4.01959875273
77c7d756a093150d4377720abeaeef76,5618,3.96395293757
77c7d756a093150d4377720abeaeef76,969,4.17418817166
77c7d756a093150d4377720abeaeef76,1232,4.33487681717
b7e8a92987a530cc368719a0e60e26a3,110501,4.86806426059
b7e8a92987a530cc368719a0e60e26a3,77658,4.71044351025
b7e8a92987a530cc368719a0e60e26a3,101895,5.02936033261
b7e8a92987a530cc368719a0e60e26a3,1260,4.6986023662
b7e8a92987a530cc368719a0e60e26a3,5971,4.66076923024
b7e8a92987a530cc368719a0e60e26a3,98491,4.9623194641
b7e8a92987a530cc368719a0e60e26a3,926,4.70686444134
b7e8a92987a530cc368719a0e60e26a3,1204,4.64519076591
b7e8a92987a530cc368719a0e60e26a3,2288,4.82321169499
b7e8a92987a530cc368719a0e60e26a3,3307,4.676755774009999
b7e8a92987a530cc368719a0e60e26a3,1172,4.64928062126
b7e8a92987a530cc368719a0e60e26a3,1212,4.74498975327
92561f21446e017dd6b68b94b23ad5b7,2905,4.526371474509999
92561f21446e017dd6b68b94b23ad5b7,2843,4.45645134129
92561f21446e017dd6b68b94b23ad5b7,3629,4.668443860880001
92561f21446e017dd6b68b94b23ad5b7,3022,4.67606689208
92561f21446e017dd6b68b94b23ad5b7,3307,4.53035968937
92561f21446e017dd6b68b94b23ad5b7,1211,4.29266005029
